batch_id,prev_pos,pos_code,brand,condition,timestamp,temperature,humidity,risk_score
B347,O,P,Brand_3,Bad,2025-12-29 04:47:00,35.0,56.0,82
B135,H,I,Brand_7,Need Attention,2025-12-09 02:20:00,26.0,35.0,47
B224,,R,Brand_2,Safe,2025-12-31 19:04:00,33.0,,1
B004,K,L,Brand_6,Safe,2025-12-16 08:51:00,,70.0,0
B425,B,C,Brand_6,Need Attention,2026-01-20 06:54:00,,38.0,48
B495,L,M,Brand_1,Bad,2025-12-29 20:03:00,,,78
B225,R,S,Brand_8,Need Attention,2025-12-24 14:29:00,,,47
B068,P,Q,Brand_1,Bad,2026-01-15 21:59:00,,,80
B346,O,P,Brand_2,Need Attention,2026-01-07 00:55:00,22.0,58.0,53
B495,F,G,Brand_1,Safe,2025-12-03 13:57:00,35.0,45.0,2
B432,B,C,Brand_3,Safe,2025-12-08 18:54:00,31.0,,0
B013,K,L,Brand_6,Bad,2026-01-18 13:53:00,24.0,69.0,81
B251,B,C,Brand_3,Bad,2026-01-30 05:20:00,28.0,,75
B100,O,P,Brand_2,Need Attention,2026-01-10 03:41:00,,,46
B092,K,L,Brand_1,Need Attention,2026-01-28 10:18:00,32.0,62.0,52
B078,I,J,Brand_5,Bad,2025-12-02 21:19:00,,42.0,79
B145,M,N,Brand_1,Need Attention,2026-01-17 14:53:00,17.0,46.0,49
B407,H,I,Brand_6,Need Attention,2025-12-01 21:59:00,33.0,59.0,52
B194,I,J,Brand_6,Safe,2026-01-26 04:13:00,18.0,38.0,0
B420,T,O,Brand_2,Need Attention,2025-12-22 04:06:00,32.0,,55
B408,H,I,Brand_9,Bad,2026-01-28 15:12:00,,,83
B432,J,K,Brand_1,Need Attention,2026-01-15 15:25:00,19.0,,45
B266,T,K,Brand_6,Need Attention,2025-11-28 05:33:00,,,50
B308,R,S,Brand_2,Safe,2026-01-26 17:14:00,15.0,,1
B015,K,L,Brand_8,Bad,2026-01-13 08:13:00,27.0,,80
B342,O,P,Brand_10,Need Attention,2026-01-05 05:19:00,,,47
B100,G,H,Brand_10,Need Attention,2025-12-29 18:36:00,,70.0,45
B035,M,N,Brand_8,Bad,2025-12-31 03:43:00,17.0,42.0,84
B263,L,M,Brand_9,Bad,2025-12-26 21:43:00,,,76
B262,Q,R,Brand_6,Bad,2026-01-31 00:58:00,,56.0,79
B134,R,S,Brand_10,Safe,2025-12-21 20:20:00,,,2
B138,B,C,Brand_8,Safe,2026-01-21 13:17:00,,69.0,5
B127,G,H,Brand_8,Safe,2026-01-10 19:12:00,,,0
B062,J,K,Brand_10,Need Attention,2026-01-10 23:04:00,,39.0,46
B419,,S,Brand_7,Need Attention,2026-01-03 07:59:00,,66.0,49
B081,L,M,Brand_3,Need Attention,2025-12-20 06:09:00,,,53
B144,D,E,Brand_6,Bad,2025-12-01 01:41:00,31.0,,76
B089,F,G,Brand_10,Safe,2026-01-03 21:37:00,27.0,,0
B240,E,F,Brand_4,Safe,2026-01-29 01:25:00,,,4
B181,,A,Brand_5,Safe,2026-01-02 22:33:00,,,0
B316,,F,Brand_3,Safe,2026-01-17 04:05:00,,33.0,4
B275,P,Q,Brand_1,Safe,2026-01-21 20:32:00,,,4
B332,T,S,Brand_10,Need Attention,2026-02-03 10:55:00,28.0,52.0,54
B496,P,Q,Brand_10,Bad,2025-12-13 12:21:00,,30.0,80
B292,Q,R,Brand_8,Safe,2025-12-04 04:25:00,,,3
B043,J,K,Brand_3,Safe,2026-01-03 22:07:00,,47.0,0
B465,R,S,Brand_4,Bad,2026-01-31 14:36:00,,,82
B218,O,P,Brand_1,Safe,2026-01-24 11:00:00,,47.0,3
B350,,Q,Brand_9,Safe,2026-01-11 21:36:00,28.0,,4
B303,A,B,Brand_9,Bad,2026-02-02 10:51:00,26.0,64.0,78
B056,Q,R,Brand_7,Bad,2026-02-04 11:20:00,19.0,64.0,75
B393,S,T,Brand_2,Bad,2025-12-24 01:10:00,33.0,44.0,85
B052,I,J,Brand_4,Bad,2025-12-08 08:55:00,,,79
B372,H,I,Brand_10,Need Attention,2025-12-28 06:39:00,,,48
B159,P,Q,Brand_6,Bad,2025-12-13 07:59:00,20.0,56.0,85
B323,R,S,Brand_10,Need Attention,2025-12-16 02:22:00,28.0,,45
B003,N,O,Brand_6,Safe,2026-01-24 22:33:00,17.0,60.0,0
B299,M,N,Brand_3,Safe,2026-01-13 15:33:00,,,0
B013,H,I,Brand_9,Need Attention,2026-01-22 22:05:00,,45.0,52
B054,,E,Brand_4,Need Attention,2026-02-01 21:32:00,34.0,,54
B046,,Q,Brand_4,Need Attention,2026-01-04 22:57:00,20.0,49.0,46
B259,,J,Brand_5,Bad,2025-12-31 05:23:00,,,82
B328,,D,Brand_2,Bad,2025-12-21 18:19:00,,,78
B057,F,G,Brand_4,Need Attention,2025-12-25 03:00:00,,40.0,53
B215,M,N,Brand_10,Need Attention,2025-12-18 00:03:00,,,45
B399,K,L,Brand_9,Safe,2025-12-08 15:58:00,19.0,58.0,0
B309,N,O,Brand_9,Bad,2026-02-01 11:08:00,27.0,,78
B204,J,K,Brand_3,Need Attention,2026-01-15 16:23:00,22.0,37.0,51
B060,J,K,Brand_3,Bad,2026-01-21 11:07:00,19.0,,76
B336,E,F,Brand_9,Safe,2026-01-20 09:30:00,18.0,,4
B215,,T,Brand_10,Need Attention,2025-12-26 07:26:00,25.0,,45
B470,T,S,Brand_10,Bad,2026-02-01 13:28:00,30.0,32.0,81
B012,,K,Brand_6,Safe,2026-01-29 08:05:00,,,0
B360,L,M,Brand_1,Safe,2026-01-06 23:25:00,16.0,,2
B258,B,C,Brand_7,Bad,2026-01-24 14:28:00,,,79
B493,L,M,Brand_6,Need Attention,2025-11-28 18:07:00,,,52
B175,S,T,Brand_3,Safe,2025-12-08 07:34:00,33.0,45.0,0
B233,J,K,Brand_9,Bad,2025-12-31 18:11:00,,35.0,82
B438,B,C,Brand_2,Need Attention,2026-01-24 20:29:00,26.0,,49
B200,D,E,Brand_7,Need Attention,2025-12-24 04:56:00,,61.0,49
B322,,G,Brand_5,Safe,2025-12-07 22:54:00,21.0,,3
B442,T,I,Brand_5,Bad,2025-12-21 19:49:00,27.0,,81
B421,D,E,Brand_6,Safe,2026-01-10 09:04:00,,44.0,1
B015,,N,Brand_3,Safe,2025-12-28 01:49:00,15.0,61.0,0
B158,B,C,Brand_5,Safe,2025-12-05 15:55:00,22.0,,5
B232,,J,Brand_10,Bad,2026-01-10 01:30:00,,,79
B114,N,O,Brand_10,Safe,2025-11-28 14:34:00,,70.0,0
B417,,C,Brand_7,Safe,2025-12-28 23:46:00,,30.0,4
B442,G,H,Brand_9,Bad,2026-01-23 14:02:00,16.0,33.0,75
B003,O,P,Brand_5,Need Attention,2026-01-19 17:07:00,18.0,,54
B027,F,G,Brand_1,Need Attention,2025-12-21 21:56:00,21.0,33.0,46
B475,N,O,Brand_6,Safe,2026-01-18 03:33:00,,,0
B192,G,H,Brand_10,Bad,2025-12-05 23:56:00,,32.0,76
B071,O,P,Brand_6,Need Attention,2026-01-30 06:57:00,,,50
B003,N,O,Brand_5,Bad,2026-01-24 22:33:00,26.0,,82
B178,H,I,Brand_6,Bad,2025-12-04 05:19:00,,,81
B227,T,B,Brand_4,Bad,2025-12-21 06:52:00,,,81
B306,B,C,Brand_8,Safe,2025-12-12 16:33:00,,35.0,5
B290,R,S,Brand_3,Bad,2025-12-28 14:55:00,,58.0,85
B387,,H,Brand_7,Bad,2026-01-28 11:02:00,32.0,44.0,79
B123,E,F,Brand_4,Bad,2026-01-21 00:48:00,,,83
B139,N,O,Brand_7,Safe,2025-11-30 07:13:00,25.0,,0
B011,T,F,Brand_7,Need Attention,2025-12-19 18:07:00,21.0,,46
B171,D,E,Brand_9,Safe,2026-01-02 12:42:00,,,0
B065,E,F,Brand_5,Bad,2026-01-09 22:05:00,,67.0,79
B133,E,F,Brand_7,Bad,2026-01-21 18:54:00,,,83
B097,I,J,Brand_8,Safe,2026-01-05 20:42:00,,,0
B118,D,E,Brand_1,Safe,2026-01-31 02:54:00,,,2
B228,J,K,Brand_5,Bad,2026-01-16 09:48:00,21.0,45.0,77
B279,R,S,Brand_3,Safe,2026-01-18 04:48:00,27.0,58.0,0
B179,,E,Brand_4,Bad,2025-12-01 23:50:00,,59.0,85
B133,M,N,Brand_1,Need Attention,2025-12-31 20:41:00,,,49
B152,,I,Brand_2,Need Attention,2025-12-10 08:26:00,16.0,49.0,48
B297,B,C,Brand_10,Bad,2025-12-10 21:52:00,,,82
B202,S,T,Brand_5,Need Attention,2026-01-25 00:18:00,23.0,,46
B259,B,C,Brand_3,Need Attention,2025-12-27 00:05:00,19.0,,54
B098,I,J,Brand_9,Bad,2026-01-19 12:22:00,35.0,,84
B420,I,J,Brand_9,Bad,2025-12-27 22:23:00,,,84
B126,N,O,Brand_2,Need Attention,2026-01-14 20:26:00,22.0,30.0,51
B227,,N,Brand_7,Bad,2025-12-19 00:38:00,,,80
B334,I,J,Brand_1,Safe,2026-01-30 22:29:00,32.0,,2
B178,,A,Brand_1,Need Attention,2026-01-20 14:22:00,35.0,,55
B152,,N,Brand_6,Safe,2026-01-10 07:50:00,19.0,47.0,0
B441,O,P,Brand_6,Safe,2025-12-01 14:54:00,,,1
B431,B,C,Brand_1,Bad,2025-12-26 15:49:00,32.0,,85
B162,,E,Brand_8,Need Attention,2025-12-29 11:09:00,26.0,48.0,52
B053,M,N,Brand_10,Safe,2026-01-24 12:00:00,35.0,,0
B066,D,E,Brand_10,Bad,2025-12-21 08:20:00,,,78
B003,N,O,Brand_1,Bad,2025-11-29 09:55:00,31.0,,75
B448,S,T,Brand_4,Need Attention,2025-12-14 16:23:00,,,49
B039,G,H,Brand_7,Need Attention,2026-01-14 04:08:00,,66.0,49
B072,E,F,Brand_3,Bad,2026-01-15 21:54:00,,,78
B016,L,M,Brand_1,Need Attention,2026-02-01 21:18:00,15.0,59.0,48
B471,H,I,Brand_5,Safe,2025-12-11 12:55:00,,,1
B286,D,E,Brand_3,Bad,2025-12-27 07:47:00,26.0,34.0,84
B285,,H,Brand_6,Bad,2026-02-05 01:58:00,,31.0,83
B232,F,G,Brand_3,Need Attention,2025-12-04 01:58:00,22.0,,49
B499,A,B,Brand_9,Need Attention,2025-12-21 02:19:00,,39.0,54
B135,I,J,Brand_10,Need Attention,2026-01-10 17:10:00,15.0,69.0,52
B416,M,N,Brand_6,Need Attention,2025-11-30 09:09:00,34.0,32.0,55
B362,L,M,Brand_3,Need Attention,2026-01-18 02:40:00,35.0,,55
B284,T,J,Brand_7,Need Attention,2025-12-22 14:16:00,32.0,,46
B408,R,S,Brand_1,Bad,2026-01-07 07:53:00,,,83
B467,F,G,Brand_2,Need Attention,2025-12-06 00:20:00,23.0,,51
B344,H,I,Brand_8,Safe,2026-02-05 05:56:00,20.0,,1
B108,T,C,Brand_5,Bad,2026-01-20 07:36:00,,67.0,75
B356,,G,Brand_6,Safe,2025-12-23 02:41:00,21.0,,0
B351,L,M,Brand_4,Need Attention,2025-12-24 00:29:00,,53.0,51
B097,N,O,Brand_3,Safe,2026-01-20 04:40:00,,52.0,0
B221,C,D,Brand_1,Safe,2026-01-11 23:58:00,22.0,33.0,2
B370,,I,Brand_3,Bad,2026-01-20 09:39:00,29.0,,76
B274,F,G,Brand_6,Bad,2026-01-16 11:26:00,,62.0,78
B070,,H,Brand_6,Bad,2025-12-22 08:30:00,35.0,39.0,78
B351,,N,Brand_10,Bad,2026-01-05 20:40:00,30.0,,83
B500,,N,Brand_4,Bad,2025-12-08 01:59:00,,63.0,84
B044,,J,Brand_2,Safe,2025-12-16 13:38:00,,61.0,0
B266,,S,Brand_3,Bad,2025-12-20 02:31:00,20.0,57.0,80
B222,J,K,Brand_2,Bad,2025-12-17 19:43:00,20.0,45.0,81
B229,N,O,Brand_5,Safe,2026-01-26 04:09:00,,,0
B002,M,N,Brand_1,Safe,2026-01-29 14:00:00,,,3
B358,K,L,Brand_5,Need Attention,2026-01-11 13:27:00,35.0,,48
B454,S,T,Brand_8,Need Attention,2025-12-07 23:52:00,,65.0,51
B153,M,N,Brand_2,Bad,2026-01-13 20:10:00,,,75
B025,E,F,Brand_5,Need Attention,2026-01-12 18:03:00,,,53
B095,N,O,Brand_9,Safe,2026-01-12 20:38:00,,,0
B281,,S,Brand_7,Safe,2026-01-13 19:52:00,27.0,53.0,0
B320,L,M,Brand_7,Bad,2025-12-16 18:55:00,,,83
B151,N,O,Brand_4,Bad,2026-01-06 00:11:00,,,84
B173,O,P,Brand_3,Bad,2026-01-10 19:45:00,29.0,,79
B148,T,O,Brand_1,Safe,2025-12-05 14:51:00,,31.0,2
B341,B,C,Brand_8,Need Attention,2026-01-26 03:54:00,,66.0,46
B268,R,S,Brand_9,Safe,2025-12-03 05:56:00,,43.0,0
B367,S,T,Brand_1,Bad,2025-11-30 06:54:00,,40.0,80
B147,,E,Brand_3,Need Attention,2026-01-31 03:38:00,26.0,67.0,46
B168,K,L,Brand_3,Safe,2025-12-21 17:49:00,,,0
B151,C,D,Brand_2,Need Attention,2025-12-01 04:23:00,,39.0,47
B126,F,G,Brand_7,Need Attention,2026-01-14 21:23:00,,47.0,52
B123,,P,Brand_2,Safe,2025-12-23 19:46:00,15.0,44.0,0
B405,,R,Brand_6,Safe,2025-12-15 09:01:00,,32.0,4
B211,D,E,Brand_3,Safe,2026-01-26 12:32:00,19.0,58.0,0
B312,,F,Brand_6,Bad,2025-12-05 06:42:00,21.0,,80
B243,F,G,Brand_1,Bad,2025-12-31 20:08:00,33.0,35.0,81
B140,A,B,Brand_9,Bad,2025-11-28 20:19:00,26.0,41.0,77
B138,D,E,Brand_2,Safe,2026-01-10 19:34:00,,,1
B172,P,Q,Brand_10,Need Attention,2026-02-01 15:30:00,31.0,33.0,55
B262,A,B,Brand_5,Safe,2026-01-28 19:28:00,,56.0,4
B093,E,F,Brand_4,Bad,2026-01-27 04:54:00,,,79
B419,,H,Brand_10,Need Attention,2026-01-06 20:49:00,,67.0,53
B351,,D,Brand_1,Need Attention,2026-01-14 17:12:00,,44.0,48
B077,E,F,Brand_10,Bad,2026-01-27 03:09:00,33.0,35.0,76
B471,R,S,Brand_5,Safe,2025-12-11 02:36:00,34.0,,0
B398,T,H,Brand_7,Bad,2025-12-07 18:17:00,27.0,39.0,76
B316,,J,Brand_2,Safe,2025-12-09 04:12:00,,46.0,0
B102,,E,Brand_1,Bad,2025-11-29 23:34:00,16.0,,83
B003,D,E,Brand_5,Safe,2025-12-24 19:52:00,26.0,70.0,3
B285,J,K,Brand_8,Safe,2026-01-15 10:56:00,24.0,35.0,0
B168,T,F,Brand_9,Safe,2026-02-03 22:17:00,34.0,52.0,4
B363,D,E,Brand_9,Bad,2025-12-28 16:06:00,,45.0,78
B154,F,G,Brand_1,Safe,2026-01-13 01:08:00,25.0,32.0,0
B436,F,G,Brand_7,Bad,2026-01-04 13:40:00,,53.0,80
B317,N,O,Brand_4,Bad,2025-12-20 14:05:00,,66.0,79
B323,D,E,Brand_6,Bad,2026-01-21 19:35:00,,66.0,75
B079,L,M,Brand_4,Need Attention,2026-01-18 04:06:00,,50.0,45
B203,L,M,Brand_8,Need Attention,2025-12-18 12:00:00,35.0,50.0,52
B433,G,H,Brand_1,Need Attention,2025-12-08 21:43:00,,47.0,55
B429,R,S,Brand_6,Bad,2025-12-02 17:26:00,,,80
B314,,J,Brand_3,Need Attention,2026-01-10 14:25:00,,31.0,48
B066,P,Q,Brand_6,Need Attention,2026-01-22 03:45:00,17.0,52.0,47
B152,,H,Brand_9,Need Attention,2025-12-30 12:09:00,,65.0,47
B039,D,E,Brand_10,Bad,2025-12-06 07:34:00,31.0,68.0,75
B303,A,B,Brand_7,Bad,2026-01-31 07:45:00,,,80
B454,J,K,Brand_10,Bad,2025-12-07 12:02:00,,47.0,79
B048,,B,Brand_1,Bad,2026-01-07 15:32:00,33.0,54.0,83
B051,S,T,Brand_1,Bad,2026-01-06 09:34:00,,,77
B206,E,F,Brand_9,Bad,2026-01-24 14:15:00,22.0,34.0,81
B028,H,I,Brand_9,Safe,2026-01-19 01:38:00,,63.0,4
B130,,Q,Brand_9,Bad,2025-12-18 12:47:00,15.0,,83
B285,,M,Brand_2,Need Attention,2026-02-02 19:57:00,18.0,,45
B025,,O,Brand_2,Safe,2026-02-03 21:33:00,31.0,53.0,0
B412,T,P,Brand_7,Need Attention,2026-01-01 03:24:00,,,55
B162,,S,Brand_10,Bad,2025-12-05 00:48:00,,70.0,78
B154,Q,R,Brand_4,Bad,2026-01-14 19:20:00,,,76
B324,F,G,Brand_1,Safe,2025-12-19 11:16:00,27.0,,0
B311,O,P,Brand_10,Bad,2026-01-21 07:24:00,,52.0,84
B466,K,L,Brand_2,Need Attention,2025-12-07 09:11:00,32.0,,52
B275,L,M,Brand_4,Need Attention,2025-12-08 03:02:00,,,47
B490,A,B,Brand_7,Need Attention,2026-01-15 22:50:00,,47.0,46
B251,B,C,Brand_5,Bad,2025-12-03 01:30:00,19.0,68.0,82
B457,H,I,Brand_6,Need Attention,2025-12-22 01:54:00,,,45
B132,A,B,Brand_5,Bad,2025-12-27 14:21:00,,,77
B111,H,I,Brand_6,Need Attention,2026-01-23 18:58:00,15.0,69.0,52
B173,A,B,Brand_6,Safe,2025-12-04 14:43:00,23.0,43.0,0
B115,M,N,Brand_6,Need Attention,2025-12-06 22:19:00,27.0,61.0,48
B353,M,N,Brand_6,Need Attention,2025-12-03 01:02:00,23.0,50.0,49
B141,D,E,Brand_7,Need Attention,2025-12-06 03:46:00,16.0,,47
B381,N,O,Brand_10,Safe,2025-12-18 21:01:00,35.0,,4
B182,T,E,Brand_8,Need Attention,2026-01-24 22:22:00,,38.0,45
B160,T,P,Brand_7,Bad,2025-12-27 17:45:00,,45.0,76
B076,R,S,Brand_6,Bad,2025-12-18 19:29:00,,59.0,85
B109,J,K,Brand_8,Need Attention,2026-01-22 13:00:00,19.0,34.0,55
B032,,P,Brand_1,Need Attention,2026-01-23 09:33:00,,,49
B486,B,C,Brand_6,Need Attention,2026-01-25 21:13:00,,,48
B334,G,H,Brand_8,Safe,2026-01-17 19:53:00,,67.0,0
B024,T,L,Brand_5,Need Attention,2026-01-08 22:34:00,,,45
B490,L,M,Brand_5,Safe,2026-01-24 13:56:00,,64.0,0
B459,Q,R,Brand_5,Safe,2026-02-01 14:27:00,21.0,,4
B155,J,K,Brand_9,Need Attention,2025-12-05 10:47:00,,,48
B226,K,L,Brand_6,Need Attention,2025-12-13 18:33:00,,,54
B137,,S,Brand_3,Bad,2025-12-22 00:54:00,20.0,,78
B481,,J,Brand_8,Need Attention,2025-12-23 04:48:00,28.0,50.0,51
B446,S,T,Brand_4,Need Attention,2025-12-01 18:24:00,20.0,,52
B043,E,F,Brand_6,Need Attention,2025-12-07 12:50:00,,70.0,46
B147,,G,Brand_10,Bad,2026-01-24 05:28:00,,48.0,79
B495,O,P,Brand_8,Bad,2026-01-16 01:31:00,,69.0,77
B023,F,G,Brand_1,Need Attention,2025-12-13 16:18:00,,,49
B273,O,P,Brand_3,Safe,2025-12-11 04:20:00,,,2
B421,,H,Brand_3,Bad,2026-01-04 10:25:00,,,77
B485,,G,Brand_1,Safe,2026-01-25 11:13:00,,,0
B335,O,P,Brand_10,Bad,2026-01-05 05:46:00,,,84
B491,Q,R,Brand_9,Safe,2025-12-28 08:16:00,30.0,,0
B023,,B,Brand_10,Bad,2026-01-29 17:07:00,32.0,,81
B262,K,L,Brand_4,Bad,2026-01-22 22:50:00,,,83
B376,O,P,Brand_2,Safe,2026-01-30 01:03:00,,,0
B424,N,O,Brand_9,Need Attention,2026-01-10 19:52:00,,56.0,52
B296,L,M,Brand_9,Safe,2025-12-18 09:57:00,19.0,,0
B010,K,L,Brand_3,Need Attention,2026-01-08 17:20:00,16.0,,46
B100,C,D,Brand_9,Safe,2026-01-27 03:41:00,24.0,50.0,0
B485,,L,Brand_5,Need Attention,2026-01-01 19:45:00,,62.0,46
B209,F,G,Brand_5,Safe,2025-12-20 01:40:00,19.0,,5
B398,F,G,Brand_2,Need Attention,2025-12-01 03:21:00,22.0,33.0,52
B206,Q,R,Brand_1,Bad,2025-12-27 22:46:00,27.0,,77
B061,M,N,Brand_6,Safe,2025-12-29 04:51:00,35.0,,0
B417,M,N,Brand_2,Bad,2025-12-06 09:22:00,20.0,,79
B185,S,T,Brand_8,Safe,2025-12-11 13:06:00,18.0,39.0,4
B286,A,B,Brand_3,Safe,2025-12-05 19:06:00,,59.0,0
B474,K,L,Brand_10,Need Attention,2025-12-03 07:47:00,17.0,46.0,55
B120,N,O,Brand_6,Safe,2025-12-07 18:57:00,,68.0,2
B396,M,N,Brand_8,Safe,2026-01-17 13:56:00,,60.0,0
B145,E,F,Brand_10,Safe,2026-01-26 19:30:00,,42.0,0
B316,G,H,Brand_6,Bad,2025-12-01 08:54:00,20.0,30.0,76
B492,D,E,Brand_7,Need Attention,2025-11-30 06:32:00,33.0,,45
B138,T,A,Brand_1,Bad,2026-01-23 13:41:00,,,85
B165,M,N,Brand_7,Bad,2025-12-27 02:47:00,,,76
B209,R,S,Brand_9,Safe,2026-01-15 23:22:00,20.0,63.0,0
B177,K,L,Brand_5,Safe,2025-12-18 00:45:00,,,0
B196,O,P,Brand_7,Safe,2025-12-08 02:41:00,,32.0,4
B128,N,O,Brand_9,Safe,2026-01-09 02:02:00,18.0,,0
B496,J,K,Brand_1,Need Attention,2026-01-26 08:23:00,,36.0,45
B047,H,I,Brand_6,Bad,2026-01-15 00:37:00,15.0,44.0,78
B116,R,S,Brand_9,Bad,2025-11-30 04:29:00,,47.0,82
B199,K,L,Brand_3,Bad,2026-01-01 00:23:00,25.0,,84
B086,N,O,Brand_2,Bad,2026-01-07 07:01:00,,35.0,76
B420,D,E,Brand_6,Safe,2026-01-30 10:05:00,16.0,,0
B304,D,E,Brand_1,Need Attention,2026-01-14 01:27:00,19.0,39.0,54
B464,P,Q,Brand_10,Need Attention,2026-01-26 20:56:00,,,45
B325,N,O,Brand_10,Need Attention,2025-12-22 13:57:00,23.0,69.0,49
B076,K,L,Brand_5,Need Attention,2026-01-22 12:24:00,34.0,58.0,49
B267,R,S,Brand_10,Safe,2026-01-28 17:53:00,35.0,,5
B170,A,B,Brand_3,Need Attention,2026-01-15 01:48:00,28.0,,52
B044,P,Q,Brand_9,Bad,2026-01-19 04:38:00,,,84
B393,L,M,Brand_3,Bad,2025-12-12 04:41:00,19.0,,76
B040,N,O,Brand_6,Need Attention,2026-01-16 16:02:00,,,49
B022,H,I,Brand_7,Need Attention,2025-12-13 09:45:00,17.0,32.0,53
B274,,Q,Brand_10,Safe,2025-12-17 07:17:00,33.0,,0
B283,C,D,Brand_10,Safe,2026-01-31 15:52:00,28.0,,0
B196,S,T,Brand_10,Bad,2026-02-02 12:23:00,25.0,42.0,77
B155,,E,Brand_6,Bad,2026-01-15 05:38:00,15.0,57.0,82
B094,P,Q,Brand_2,Bad,2026-01-24 00:34:00,33.0,,77
B340,A,B,Brand_8,Bad,2026-01-10 19:10:00,,,75
B036,O,P,Brand_8,Bad,2026-01-03 04:03:00,34.0,,79
B017,N,O,Brand_4,Safe,2025-12-17 09:53:00,20.0,,0
B372,I,J,Brand_4,Safe,2025-12-09 16:48:00,,,3
B307,O,P,Brand_3,Need Attention,2026-01-23 15:54:00,17.0,,47
B365,I,J,Brand_8,Safe,2026-01-20 14:31:00,27.0,,5
B163,G,H,Brand_3,Safe,2026-01-08 22:09:00,20.0,43.0,2
B443,I,J,Brand_8,Bad,2025-12-15 00:39:00,31.0,,75
B478,,D,Brand_3,Need Attention,2025-12-31 15:21:00,19.0,,45
B096,H,I,Brand_10,Need Attention,2025-12-16 23:16:00,30.0,,48
B416,T,G,Brand_7,Need Attention,2025-12-14 11:09:00,,,45
B403,R,S,Brand_2,Safe,2025-12-05 14:29:00,21.0,57.0,4
B484,R,S,Brand_8,Bad,2025-12-31 08:51:00,24.0,60.0,75
B081,S,T,Brand_10,Bad,2025-12-03 05:33:00,35.0,56.0,78
B201,T,P,Brand_5,Bad,2025-12-13 13:31:00,18.0,,82
B369,G,H,Brand_3,Need Attention,2025-12-29 21:38:00,24.0,,50
B242,,C,Brand_2,Bad,2025-12-22 21:54:00,15.0,,79
B041,T,M,Brand_7,Safe,2026-01-23 23:47:00,,55.0,1
B060,B,C,Brand_9,Bad,2025-11-29 22:20:00,,,83
B244,L,M,Brand_5,Bad,2025-12-28 07:00:00,,58.0,85
B223,T,J,Brand_5,Need Attention,2026-01-05 23:20:00,,,55
B158,B,C,Brand_9,Need Attention,2026-01-11 21:57:00,,53.0,53
B247,B,C,Brand_2,Safe,2025-12-26 21:16:00,,62.0,3
B341,I,J,Brand_5,Need Attention,2026-01-28 03:14:00,,,47
B170,P,Q,Brand_9,Safe,2025-12-24 03:29:00,,40.0,0
